"Càmara de Comerç" "Cambra de Comerç"
"època hel·lenista" "època hel·lenística"
alesores aleshores
"excel.lent" "excel·lent"
"excel.lents" "excel·lents"
"Excel.lent" "Excel·lent"
"Excel.lents" "Excel·lents"
"volta de creuria" "volta de creueria"
"requereix d'un" "requereix un"
"Requereix d'un" "Requereix un"
"post-producció" "postproducció"
estatunitenc estatunidenc
estatunitencs estatunidencs
estatunitenca estatunidenca
estatunitenques estatunidenques
"mil.lenni" "mil·lenni"
"apel.lació" "apel·lació"
"pàl.lid" "pàl·lid"
"semicèl.lules" "semicèl·lules"
"Paral.lelament" "Paral·lelament"
"paral.lelament" "paral·lelament"
"medul.la" "medul·la"
"fol.licle" "fol·licle"
"medul.les" "medul·les"
"fol.licles" "fol·licles"
"excel.lir" "excel·lir"
"al.lusions" "al·lusions"
"el.líptica" "el·líptica"
"intel.ligents" "intel·ligents"
"col.locada" "col·locada"
"col.locat" "col·locat"
"col.locades" "col·locades"
"col.locats" "col·locats"
"col.locar" "col·locar"
"metàl.liques" "metàl·liques"
"metàl.lic" "metàl·lic"
"metàl.lics" "metàl·lics"
"metàl.lica" "metàl·lica"
"intercel.lulars" "intercel·lulars"
"intercel.lular" "intercel·lular"
"il.luminar" "il·luminar"
"il.luminat" "il·luminat"
"il.luminats" "il·luminats"
"il.luminada" "il·luminada"
"il.luminades" "il·luminades"
"l'ull esquerra" "l'ull esquerre"
"Un exemple clar n'és" "N'és un exemple clar"
"Un exemple n'és" "N'és un exemple"
assitir assistir
concretitzar concretar
estrucutra estructura
"l'estrucutra" "l'estructura"
"Co-guionista" "Coguionista"
"co-guionista" "coguionista"
"afro-americà" "afroamericà"
"afro-americans" "afroamericans"
"afro-americana" "afroamericana"
"afro-americanes" "afroamericanes"
"Afro-americà" "Afroamericà"
"Afro-americans" "Afroamericans"
"Afro-americana" "Afroamericana"
"Afro-americanes" "Afroamericanes"
"Compta amb una superfície" "Té una superfície"
"a jornada complerta" "a jornada completa"
"es va fer amb el premi" "va guanyar el premi"
"viu a zones" "viu en zones"
"viu a boscos" "viu en boscos"
"viu a rius" "viu en rius"
"viu a llacs" "viu en llacs"
"viu a estanys" "viu en estanys"
"viu a regions" "viu en regions"
"viu a països" "viu en països"
"viu a hàbitats" "viu en hàbitats"
"Viu a zones" "Viu en zones"
"Viu a boscos" "Viu en boscos"
"Viu a rius" "Viu en rius"
"Viu a llacs" "Viu en llacs"
"Viu a estanys" "Viu en estanys"
"Viu a regions" "Viu en regions"
