"l'individuu" "l'individu"
2on 2n
3er 3r
4art 4t
4arta 4a
4artes 4es
4arts 4ts
4rt 4t
aamb amb
"a apart" "a part"
"abans de que" "abans que"
"Abans de que" "Abans que"
abortament avortament
abortaments avortaments
àbsis absis
Àbsis Absis
absolutamnt absolutament
acavaba acabava
acavaben acabaven
acavada acabada
acavades acabades
acavat acabat
acavats acabats
acavaven acabaven
accès accés
acepció accepció
acepcions accepcions
"acì" "ací"
"Acì" "Ací"
Acoblamnt Acoblament
aconsegiur aconseguir
aconsegut aconseguit
aconseguts aconseguits
acreixer acréixer
acrèixer acréixer
"actriu secundaria" "actriu secundària"
actualemnt actualment
Actualemnt Actualment
actualmemt actualment
Actualmemt Actualment
actualmnet actualment
addient adient
addients adients
adecuades adequades
adecuat adequat
adecuats adequats
adeqüada adequada
adeqüades adequades
adeqüat adequat
adeqüats adequats
adhient adient
adhients adients
adicionals addicionals
aeria aèria
Aeria Aèria
aeries aèries
Aeries Aèries
"a Estats Units" "als Estats Units"
"A Estats Units" "Als Estats Units"
afegueix afegeix
aforamnet aforament
agresives agressives
"aigua pesada" "aigua pesant"
"aigües a baix" "aigües avall"
"aigües abaix" "aigües avall"
"Aigües a baix" "Aigües avall"
"Aigües abaix" "Aigües avall"
"aigües a dalt" "aigües amunt"
"aigües costeres" "aigües costaneres"
aillà aïllà
aillada aïllada
aillades aïllades
aillament aïllament
aillar aïllar
aillaren aïllaren
aillat aïllat
aillats aïllats
airadament aïradament
aixi així
Aixi Així
"aixì" "així"
"Aixì" "Així"
aixo això
Aixo Això
aixó això
Aixó Això
ajuntamnet ajuntament
Ajuntamnet Ajuntament
Ajuntamnet Ajuntament
"a la seua vegada" "al seu torn"
"a la seva vegada" "al seu torn"
"al darrera" "al darrere"
"Al darrera" "Al darrere"
"al edifici" "a l'edifici"
"a l'empar" "a l'empara"
"a l'ensems" ensems
"A l'ensems" Ensems
"a les afores" "als afores"
"A les afores" "Als afores"
"a les rodalies de la ciutat" "a la rodalia de la ciutat"
"A les rodalies de la ciutat" "A la rodalia de la ciutat"
"al est" "a l'est"
"Al est" "A l'est"
"al estat" "a l'estat"
"al Estat" "a l'Estat"
aliançes aliances
alicient al·licient
alimentícia alimentària
alimentici alimentari
alimentícies alimentàries
alimenticis alimentaris
aliniada alineada
Aliniada Alineada
aliniades alineades
Aliniades Alineades
aliniament alineament
aliniar alinear
aliniat alineat
Aliniat Alineat
aliniats alineats
Aliniats Alineats
"al inici" "a l'inici"
"Al inici" "A l'inici"
al·legal alegal
al·legals alegals
alleugir alleugerir
Alliberamnet Alliberament
Alliberamnet Alliberament
"al llarc" "al llarg"
"al llargs" "al llarg"
"all llarg" "al llarg"
"All llarg" "Al llarg"
"al matí següent" "l'endemà al matí"
"Al matí següent" "L'endemà al matí"
"al màxim esplendor" "a la màxima esplendor"
almenades emmerletades
almenat emmerletat
almenats emmerletats
"al oest" "a l'oest"
"Al oest" "A l'oest"
"al països" "als països"
"als complexes" "als complexos"
"als cuals" "als quals"
"al seu lloc fou nomenat" "en lloc seu fou nomenat"
"Al seu lloc fou nomenat" "En lloc seu fou nomenat"
"al seu màxim esplendor" "a la seva màxima esplendor"
"als índex" "als índexs"
"al sur amb" "al sud amb"
"als voltant" "al voltant"
"Als voltant" "Al voltant"
"alt-relleu" "alt relleu"
"altrelleu" "alt relleu"
"alt relleus" "alts relleus"
"alt-relleus" "alts relleus"
"altre vegada" "altra vegada"
altrs  altres
"al voltants" "al voltant"
"Al voltants" "Al voltant"
"a ma alçada" "a mà alçada"
"amb especies" "amb espècies"
ambígua ambigua
ambigüa ambigua
ambues ambdues
Ambues Ambdues
"amenaça significativa per la supervivència" "amenaça significativa per a la supervivència"
"a mitjans segle" "a mitjan segle"
"A mitjans segle" "A mitjan segle"
amotllar emmotllar
àmpit ampit
àmpits ampits
àmpliamnet àmpliament
àmpliamnet àmpliament
Anastàssia Anastàsia
aniràn aniran
anterioment anteriorment
Anterioment Anteriorment
anticancerígena anticancerosa
Anticancerígena Anticancerosa
anticancerigen anticancerós
Anticancerigen Anticancerós
anticancerígenes anticanceroses
Anticancerígenes Anticanceroses
anticancerígens anticancerosos
Anticancerígens Anticancerosos
antigamnet antigament
antigües antigues
antirromà antiromà
anulà anul·là
anulant anul·lant
anularen anul·laren
"any en el que" "any en què"
"any en que" "any en què"
"any i mitjà" "any i mig"
"anys desprès" "anys després"
"anys en que" "anys en què"
"anys i mitjà" "anys i mig"
apareixer aparèixer
apareixi aparegui
apareixin apareguin
apariència aparença
Apariència Aparença
apariències aparences
Apariències Aparences
"apart del" "a part del"
"Apart del" "A part del"
"apart dels" "a part dels"
"Apart dels" "A part dels"
apartir "a partir"
Apartir "A partir"
aproba aprova
aprobà aprovà
aprop "a prop"
Aprop "A prop"
aqeusta aquesta
Aqeusta Aquesta
aqeust aquest
Aqeust Aquest
aqeustes aquestes
Aqeustes Aquestes
aqeustos aquests
Aqeustos Aquests
aqeusts aquests
Aqeusts Aquests
aqueata aquesta
"aquesta anys" "aquests anys"
"Aquesta anys" "Aquests anys"
"aquesta época" "aquesta època"
"aquesta familia" "aquesta família"
"Aquesta familia" "Aquesta família"
"aques t" aquest
"aquest casos" "aquests casos"
"aquest espècie" "aquesta espècie"
"Aquest espècie" "Aquesta espècie"
"aquest països" "aquests països"
"aquest procès" "aquest procés"
"Aquest procès" "Aquest procés"
"aquests cas" "aquest cas"
aqueta aquesta
Aqueta Aquesta
aquet aquest
Aquet Aquest
aquetes aquestes
Aquetes Aquestes
aquetos aquests
Aquetos Aquests
aquets aquests
aquets aquests
Aquets Aquests
Aquets Aquests
"aquì" "aquí"
"Aquì" "Aquí"
aqusta aquesta
Aqusta Aquesta
aqusts aquests
Aqusts Aquests
"a redòs" "a redós"
"A redòs" "A redós"
arees àrees
Arees Àrees
"àrees costeres" "àrees costaneres"
àres àrees
Àres Àrees
Argèlia Algèria
argelià algerià
Argelià Algerià
argelí algerí
Argelí Algerí
Argumemt Argument
"arreu del mon" "arreu del món"
"Arreu del Mon" "Arreu del món"
arrivaba arribava
arrivaben arribaven
"Article relacionats" "Articles relacionats"
"Articles relacionat" "Articles relacionats"
arxipelag arxipèlag
arxivamnt arxivament
asiduitat assiduïtat
asistència assistència
Asistència Assistència
asistències assistències
Asistències Assistències
asociació associació
Asociació Associació
asociades associades
Asociades Associades
asociat associat
Asociat Associat
asociats associats
Asociats Associats
assiduitat assiduïtat
assimetria asimetria
"a totes llums" "sense cap mena de dubte"
atravessada travessada
atravessades travessades
atravessant travessant
"atravessar" "travessar"
atravessats travessats
atravessat travessat
atrezzista attrezzista
atrezzistes attrezzistes
atrezzo attrezzo
Atrezzo Attrezzo
atrezzos attrezzos
auqesta aquesta
Auqesta Aquesta
auqest aquest
Auqest Aquest
auqestes aquestes
Auqestes Aquestes
auqestos aquests
Auqestos Aquests
auqests aquests
Auqests Aquests
"auto-govern" "autogovern"
autonòma autònoma
Autonòma Autònoma
autonòm autònom
autonòmes autònomes
autònomica autonòmica
autònomic autonòmic
autònomics autonòmics
autònomiques autonòmiques
autonòms autònoms
"auto-retrat" "autoretrat"
"Auto-retrat" "Autoretrat"
"auto-retrats" "autoretrats"
"Auto-retrats" "Autoretrats"
avegades "a vegades"
aventatge avantatge
Aventatge Avantatge
aventatges avantatges
Aventatges Avantatges
Avgda Av
avistades albirades
avistament albirament
avistaments albiraments
avistat albirat
avistats albirats
avortiu abortiu
avortius abortius
avortiva abortiva
avortives abortives
"baix el control" "sota el control"
"baix la direcció" "sota la direcció"
"baix-relleu" "baix relleu"
baixrelleu "baix relleu"
"baix relleus" "baixos relleus"
"baix-relleus" "baixos relleus"
baixrelleus "baixos relleus"
"bassada en" "basada en"
"bassada en" "basada en"
"bassades en" "basades en"
"bassades en" "basades en"
"bassat en" "basat en"
"bassats en" "basats en"
"bèl•lica" "bèl·lica"
"bèl•lic" "bèl·lic"
"bèl•lics" "bèl·lics"
"bèl•liques" "bèl·liques"
beneficiència beneficència
Beneficiència Beneficència
bieni bienni
bienis biennis
bíped bípede
bípeds bípedes
boiard boiar
Boiard Boiar
boiards boiars
Boiards Boiars
breuemnt breument
Brusel·les Brussel·les
"cabdal anual" "cabal anual"
"cabdal d'aigua" "cabal d'aigua"
"cabdal del riu" "cabal del riu"
"cabdal ecològic" "cabal ecològic"
"cabdal màxim" "cabal màxim"
"cabdal mensual" "cabal mensual"
"cabdal mínim" "cabal mínim"
"cabdal mitjà" "cabal mitjà"
"cabdals d'aigua" "cabals d'aigua"
"cabdal variable" "cabal variable"
caça-bombarder "caça bombarder"
caçabombarder "caça bombarder"
Caça-bombarder "Caça bombarder"
Caçabombarder "Caça bombarder"
caça-bombarders "caces bombarders"
caçabombarders "caces bombarders"
Caça-bombarders "Caces bombarders"
Caçabombarders "Caces bombarders"
"cada kilometre" "cada quilòmetre"
cadascún cadascun
Cadascún Cadascun
caiguè caigué
cálcul càlcul
Cálcul Càlcul
cálculs càlculs
Cálculs Càlculs
calificació qualificació
Calificació Qualificació
calificades qualificades
calificat qualificat
"Callosa d'En Sarrià" "Callosa d'en Sarrià"
cambiades canviades
cambiat canviat
cambiats canviats
"càmera de comerç" "cambra de comerç"
"Càmera de Comerç" "Cambra de Comerç"
"campionat del mon" "campionat del món"
"Campionat del mon" "Campionat del món"
"Campionat del Mon" "Campionat del món"
