abatè abaté
absolguè absolgué
abstenguè abstengué
abstinguè abstingué
abstraguè abstragué
acorreguè acorregué
acreixè acreixé
acresquè acresqué
adiguè adigué
admetè admeté
adscriguè adscrigué
advenguè advengué
advinguè advingué
aiguabatè aiguabaté
ajaguè ajagué
alabatè alabaté
aparè aparé
apareguè aparegué
apercebè apercebé
aprehenguè aprehengué
aprenguè aprengué
arremetè arremeté
asseguè assegué
atenguè atengué
atenyè atenyé
atinguè atingué
atraguè atragué
autodissolguè autodissolgué
autoexcloguè autoexclogué
avenguè avengué
avinguè avingué
batè baté
beguè begué
benveiè benveié
bestraguè bestragué
botè boté
cabè cabé
caiguè caigué
calguè calgué
captenguè captengué
captinguè captingué
cartenguè cartengué
cartinguè cartingué
carvenguè carvengué
cernè cerné
circumscriguè circumscrigué
cloguè clogué
coguè cogué
colguè colgué
colltorcè colltorcé
combatè combaté
cometè cometé
commoguè commogué
compareguè comparegué
complaguè complagué
complanguè complangué
complanyè complanyé
componguè compongué
comprenguè comprengué
comprometè comprometé
concebè concebé
concloguè conclogué
concorreguè concorregué
condolguè condolgué
coneguè conegué
confonguè confongué
constrenyè constrenyé
contenguè contengué
continguè contingué
contorcè contorcé
contrabatè contrabaté
contradiguè contradigué
contrafè contrafé
contraguè contragué
contravenguè contravengué
contravinguè contravingué
convencè convencé
convenguè convengué
convinguè convingué
convisquè convisqué
corfonguè corfongué
corprenguè corprengué
correguè corregué
corresponguè correspongué
corrompè corrompé
creguè cregué
creixè creixé
cresquè cresqué
debatè debaté
decaiguè decaigué
decebè decebé
decorreguè decorregué
decreixè decreixé
decresquè decresqué
defenguè defengué
deguè degué
demetè demeté
depenguè depengué
deprenguè deprengué
desapareguè desaparegué
desaprenguè desaprengué
desatenguè desatengué
desavenguè desavengué
desavinguè desavingué
descloguè desclogué
descomplaguè descomplagué
descomponguè descompongué
descomprometè descomprometé
desconeguè desconegué
desconvenguè desconvengué
desconvinguè desconvingué
descorreguè descorregué
descreguè descregué
descriguè descrigué
desdiguè desdigué
desentenguè desentengué
desfè desfé
desisquè desisqué
desmereixè desmereixé
desmeresquè desmeresqué
despenguè despengué
desplaguè desplagué
desponguè despongué
desprenguè desprengué
destorcè destorcé
destrenyè destrenyé
desvisquè desvisqué
