"l'acritut" "l'acritud"
"l'actitut" "l'actitud"
"l'altitut" "l'altitud"
"l'amplitut" "l'amplitud"
"l'aptitut" "l'aptitud"
"l'esclavitut" "l'esclavitud"
"l'exactitut" "l'exactitud"
"l'excelsitut" "l'excelsitud"
"l'extremitut" "l'extremitud"
"l'habitut" "l'habitud"
"L'acritut" "L'acritud"
"L'actitut" "L'actitud"
"L'altitut" "L'altitud"
"L'amplitut" "L'amplitud"
"L'aptitut" "L'aptitud"
"L'esclavitut" "L'esclavitud"
"L'exactitut" "L'exactitud"
"L'excelsitut" "L'excelsitud"
"L'extremitut" "L'extremitud"
"L'habitut" "L'habitud"
"d'acritut" "d'acritud"
"d'acrituts" "d'acrituds"
"d'actitut" "d'actitud"
"d'actituts" "d'actituds"
"d'altitut" "d'altitud"
"d'altituts" "d'altituds"
"d'amplitut" "d'amplitud"
"d'amplituts" "d'amplituds"
"d'aptitut" "d'aptitud"
"d'aptituts" "d'aptituds"
"d'esclavitut" "d'esclavitud"
"d'esclavituts" "d'esclavituds"
"d'exactitut" "d'exactitud"
"d'exactituts" "d'exactituds"
"d'excelsitut" "d'excelsitud"
"d'excelsituts" "d'excelsituds"
"d'extremitut" "d'extremitud"
"d'extremituts" "d'extremituds"
"d'habitut" "d'habitud"
"d'habituts" "d'habituds"
"d'il·licitut" "d'il·licitud"
"d'il·licituts" "d'il·licituds"
"d'incertitut" "d'incertitud"
"d'incertituts" "d'incertituds"
"d'ineptitut" "d'ineptitud"
"d'ineptituts" "d'ineptituds"
"d'inexactitut" "d'inexactitud"
"d'inexactituts" "d'inexactituds"
"d'infinitut" "d'infinitud"
"d'infinituts" "d'infinituds"
"d'ingratitut" "d'ingratitud"
"d'ingratituts" "d'ingratituds"
"d'inquietut" "d'inquietud"
"d'inquietuts" "d'inquietuds"
